CODGEO,NBMENFISC21,MED21,TP6021,TP60TOL121,PPSOC21,PPLOGT21,PACT21,PIMPOT21
01,270138,24810,10.8,5.0,3.8,0.7,79.1,15.9
02,224492,20920,18.8,8.4,7.7,1.5,68.4,13.8
03,160041,21500,16.2,8.8,6.5,1.3,61.5,13.7
04,72855,21790,17.1,9.6,5.5,1.2,59.9,14.5
05,65683,22010,14.7,8.8,5.2,1.0,63.0,14.4
06,536880,23460,16.4,8.5,4.7,1.0,72.3,18.7
07,145192,21990,14.9,8.5,5.4,1.1,64.7,14.1
08,118500,20850,19.4,9.2,7.6,1.6,66.4,13.4
09,72066,20820,19.0,12.1,7.2,1.5,61.0,13.1
10,132991,21530,16.9,6.7,6.7,1.4,68.7,15.1
11,171836,20510,20.8,11.6,7.9,1.6,60.0,13.5
12,126764,21860,14.5,9.5,5.2,1.0,62.8,13.8
13,869140,22920,18.5,6.4,6.4,1.4,73.7,17.6
14,307659,22840,12.5,5.3,5.1,1.0,69.8,15.6
15,67592,21710,14.2,9.7,5.0,0.9,62.8,13.8
16,161820,22000,15.1,8.3,5.9,1.2,66.7,14.4
17,316687,22810,12.5,7.4,4.8,0.9,62.3,15.4
18,139636,22100,14.7,7.4,6.2,1.2,65.5,14.2
19,111468,22140,13.7,8.4,5.0,1.0,63.7,14.1
21,232935,23720,11.8,5.0,4.7,0.9,72.2,16.4
22,281440,22670,11.8,7.0,4.9,0.9,64.1,14.3
23,56411,20620,19.2,14.2,6.2,1.1,57.3,12.7
24,191611,21410,16.6,10.9,5.7,1.1,59.2,13.6
25,234231,23890,13.1,5.0,5.0,1.0,77.7,16.4
26,228957,22450,14.8,7.3,5.6,1.1,69.0,15.0
27,251484,22880,12.7,5.6,5.9,1.0,73.0,15.0
28,182871,23360,12.1,5.3,5.1,0.9,73.0,15.4
29,421606,23220,10.8,5.8,4.9,0.9,67.0,14.8
2A,61036,23420,15.8,9.2,4.8,0.9,69.9,17.6
2B,67789,21460,20.2,12.0,6.2,1.2,67.3,16.2
30,337231,21330,20.0,9.5,7.1,1.5,66.2,14.9
31,620391,24230,14.3,5.0,5.5,1.2,80.0,17.5
32,86472,22110,15.3,9.9,5.3,1.0,63.7,14.1
33,734949,23950,12.8,5.8,4.9,1.0,76.4,17.1
34,536698,21800,19.4,8.9,6.8,1.5,68.8,16.0
35,470915,23690,10.8,5.0,5.0,1.0,76.1,15.9
36,102369,21270,15.4,8.4,6.1,1.2,61.8,13.3
